name,AngelList_website,tagline
Stratuscent,https://angel.co/company/sensing-dynamics,Stratuscent (formerly Sensing Dynamics) is developing an electronic nose platform
Code Ninja,https://angel.co/company/code-ninja,"CN provides accelerated learning programs, which help inspired coders become awesome!"
Aerial.ai,https://angel.co/company/aerialai,Indoor activity recognition with existing WiFi connectivity
Airy:3D,https://angel.co/company/airy-3d,Passive 3D Machine Vision
Captured Media,https://angel.co/company/captured-media,"Interactive, social digital advertising"
Crosscode,https://angel.co/company/crosscode,Your Enterprise Mapped. Down to the Line of Code.
Motosumo,https://angel.co/company/motosumo,
Worldfavor,https://angel.co/company/worldfavor-1,SaaS-solution digitalizing Sustainability management & data 
Project Alba,https://angel.co/company/project-alba,Bolstering farmers productivity while providing them with an efficient channel to markets
LoyGen,https://angel.co/company/loygen,"We are a data driven, business process: enforcement, reporting and improvement engine."
Trust Exchange,https://angel.co/company/trustexchange,B2B social network
Wild Blue Studio,https://angel.co/company/wild-blue-studio-1,High Art
Naqeshny,https://angel.co/company/naqeshny,Social Network for structured and effective conversations
GAMURS,https://angel.co/company/gamurs-1,The Ultimate Gaming Social Network
DaySpark,https://angel.co/company/dayspark,Premium Video-sharing Network
Evola,https://angel.co/company/evola,Automating Enterprise Software development
Nibox,https://angel.co/company/nibox,Theme Mobile Video SNS & Editing 
American Century Life,https://angel.co/company/american-century-life,It is Boring and That's Why it is Interesting
HorseCare,https://angel.co/company/horsecare,#1 App For Horses
Places,https://angel.co/company/placeshq,Peer-to-peer marketplace for home sales
Tempus Energy,https://angel.co/company/tempus-energy,Revolutionising electricity systems with demand flexibility
Gravity Investments,https://angel.co/company/gravity-investments,Portfolio Re-Optimization
SmartRaiser,https://angel.co/company/smartraiser,We are a crowdfunding platform for product fundraising.
Front Lines Media,https://angel.co/company/frontlinesmedia,We help companies on the front lines of their industry become thought leaders. 
Zenklub,https://angel.co/company/zenklub,The place where people unlock their full potential
NetThunder,https://angel.co/company/netthunder,Make your own Private Cloud
TECHeGO,https://angel.co/company/techego-1,"Universal platform, universal apps"
Favorey,https://angel.co/company/favorey,Things you need from people you trust
Epiphany Solar Water Systems,https://angel.co/company/epiphany-solar-water-systems,Clean water from the Sun.
Touchstone Tie-up,https://angel.co/company/touchstone-tie-up,SaaS based HealthCare
